t,assi,cmd_az,cmd_linx,target_deg,actual_deg,motor_deg,lws_rad,odom_vx,motor_rpm
0.052,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.152,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.253,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.352,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.453,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.552,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.652,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.752,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.852,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
0.952,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.052,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.153,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.253,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.352,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.452,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.552,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.652,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.752,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.852,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
1.952,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.051,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.152,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.252,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.352,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.452,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.552,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.652,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.752,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.852,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
2.952,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.052,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.151,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.252,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.352,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.452,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.552,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.652,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.752,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.852,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
3.952,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.052,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.151,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.252,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.352,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.452,2,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.552,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.652,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.751,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.852,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
4.951,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.052,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.152,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.251,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.352,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.452,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.554,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.652,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.752,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.852,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
5.952,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.054,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.151,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.251,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.352,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.452,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.554,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.652,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.752,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.852,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
6.952,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
7.051,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
7.152,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
7.252,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
7.352,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
7.452,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
7.554,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
7.652,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.001,0.0
7.752,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.010,0.0
7.852,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.007,0.0
7.952,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.005,0.0
8.054,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.004,0.0
8.151,3,0.0000,0.0000,0.00,0.00,0.00,0.0000,-0.003,0.0
8.251,3,0.1850,0.1000,0.00,0.00,0.00,0.0000,-0.003,0.0
8.352,3,0.1753,0.2000,0.00,0.00,0.00,0.0000,-0.003,0.0
8.451,3,0.0504,0.2000,0.00,0.00,0.00,0.0000,-0.002,0.0
8.554,3,-0.0316,0.2000,0.00,0.00,0.00,0.0000,0.020,0.0
8.651,3,-0.0420,0.2000,11.50,0.00,0.00,0.0000,0.079,0.0
8.751,3,-0.0270,0.2000,8.00,2.50,5.50,-0.0611,0.251,18.0
8.851,3,-0.0154,0.2000,-1.50,8.00,0.50,-0.1431,0.229,88.0
8.952,3,0.0243,0.2000,-2.00,8.00,-2.00,-0.1431,1.519,297.0
9.052,3,0.0297,0.1579,-1.00,8.00,-2.50,-0.1431,2.996,479.0
9.152,3,0.0283,-0.3006,0.50,10.50,0.50,-0.1920,4.453,674.0
9.251,3,0.0239,-0.7169,1.50,13.00,0.00,-0.2269,5.836,877.0
9.352,3,0.0272,-0.9666,1.50,14.00,1.50,-0.2496,7.073,1003.0
9.451,3,-0.0125,-1.0000,1.50,14.50,1.50,-0.2583,7.165,927.0
9.551,3,0.0785,-1.0000,1.50,14.50,1.50,-0.2583,6.533,842.0
9.652,3,0.0785,-1.0000,2.00,14.50,1.00,-0.2583,5.825,753.0
9.751,3,0.0785,-1.0000,3.00,15.00,0.50,-0.2670,5.150,662.0
9.851,3,-0.0465,-0.7336,5.00,16.00,0.00,-0.2845,4.516,572.0
9.951,3,0.0508,-0.5064,5.00,17.50,-1.50,-0.3089,3.881,490.0
10.051,3,-0.1158,-0.1283,5.00,19.50,-2.00,-0.3456,3.280,397.0
10.151,3,-0.0648,0.0500,5.00,20.50,-2.50,-0.3648,2.741,331.0
10.252,3,-0.1957,0.2000,3.00,21.50,-2.50,-0.3787,2.173,253.0
10.351,3,-0.3215,0.2000,-2.00,22.00,-3.50,-0.3910,1.614,184.0
10.452,3,-0.3326,0.2000,-5.50,23.50,-5.50,-0.4189,1.113,125.0
10.551,3,-0.4338,0.2000,-20.50,24.50,-9.00,-0.4346,0.658,61.0
10.652,3,-0.3787,0.2000,-19.50,24.50,-16.00,-0.4346,1.005,213.0
10.751,3,-0.2574,0.2000,-20.50,24.50,-20.50,-0.4346,2.419,420.0
10.851,3,-0.2183,-0.1165,-26.00,24.50,-21.50,-0.4346,3.895,616.0
10.952,3,-0.1828,-0.4995,-28.00,24.50,-27.00,-0.4346,5.283,807.0
11.051,3,-0.1352,-0.8325,-14.00,25.50,-27.00,-0.4520,6.673,988.0
11.152,3,-0.1299,-1.0000,-12.50,29.00,-21.00,-0.5236,7.197,966.0
11.252,3,-0.1567,-1.0000,-8.00,40.00,-13.00,-0.7191,6.681,870.0
11.351,3,-0.2096,-1.0000,-8.00,46.50,-8.00,-0.8168,6.038,768.0
11.452,3,-0.0846,-1.0000,-7.50,47.50,-8.00,-0.8325,5.311,682.0
11.551,3,0.0095,-0.7939,-13.50,48.00,-8.50,-0.8395,4.643,596.0
11.652,3,-0.0110,-0.5697,-13.50,50.00,-7.00,-0.8796,4.012,511.0
11.752,3,0.0022,-0.2812,-13.50,52.50,-6.00,-0.9233,3.405,423.0
11.852,3,0.0155,0.0000,-13.50,54.50,-5.50,-0.9547,2.827,360.0
11.952,3,0.0371,0.2000,-1.00,57.00,-1.50,-1.0140,2.273,279.0
12.051,3,0.0530,0.2000,1.00,60.50,-3.50,-1.0577,1.733,213.0
12.152,3,0.0820,0.2000,1.00,63.50,1.00,-1.1432,1.275,142.0
12.251,3,0.0707,0.2000,1.50,63.50,1.50,-1.1606,0.871,119.0
12.351,3,0.4870,0.2000,2.50,63.50,2.50,-1.1729,1.550,294.0
12.451,3,0.1986,0.1711,3.00,63.50,3.00,-1.1938,2.955,495.0
12.552,3,0.1736,-0.2498,31.50,63.50,3.00,-1.1973,4.419,677.0
12.652,3,0.1523,-0.5827,24.50,63.50,9.00,-1.2689,5.884,884.0
12.752,3,0.1726,-0.9158,12.50,63.50,15.00,-1.3998,7.196,1046.0
12.852,3,0.0476,-1.0000,13.50,63.50,11.50,-1.3998,8.018,1113.0
12.951,3,0.1726,-1.0000,11.00,63.50,10.00,-1.3998,7.712,997.0
13.051,3,0.1726,-1.0000,11.00,63.50,9.00,-1.3998,7.004,919.0
13.151,3,0.1726,-1.0000,11.00,63.50,8.00,-1.3998,6.322,818.0
13.251,3,0.1726,-1.0000,3.00,63.50,4.00,-1.3998,5.675,744.0
13.351,3,0.1726,-1.0000,3.00,63.50,5.00,-1.3998,5.019,637.0
13.452,3,0.1726,-0.7841,3.00,63.50,6.00,-1.3998,4.381,552.0
13.551,3,0.1726,-0.4650,11.00,63.50,10.00,-1.3998,3.783,483.0
13.651,3,0.3095,-0.7766,11.00,63.50,9.00,-1.3998,3.209,409.0
13.752,3,0.2680,-0.5402,11.00,63.50,8.00,-1.3998,2.724,333.0
13.851,3,0.3751,-0.2627,11.00,63.50,6.50,-1.3998,2.175,263.0
13.951,3,0.6508,0.2000,11.00,63.50,10.00,-1.3998,1.610,190.0
14.051,3,0.7746,0.2000,24.00,63.50,9.50,-1.3998,1.134,129.0
14.152,3,0.9501,0.2000,38.00,63.50,22.00,-1.3998,0.665,68.0
14.251,3,1.0000,0.2000,42.00,63.50,35.00,-1.3998,0.304,45.0
14.351,3,0.9539,0.2000,45.00,63.50,43.00,-1.3998,1.020,223.0
14.451,3,0.6320,0.2000,50.00,63.50,49.50,-1.3998,2.428,424.0
14.551,3,0.4731,-0.1165,62.00,63.50,48.00,-1.3998,3.862,625.0
14.651,3,0.3941,-0.4995,49.50,63.50,51.50,-1.3998,5.279,816.0
14.751,3,0.2650,-0.9158,41.00,63.50,45.00,-1.3998,6.638,1002.0
14.852,3,0.3900,-1.0000,35.00,63.50,37.50,-1.3998,7.961,1167.0
14.951,3,0.3900,-1.0000,30.50,63.50,30.50,-1.3998,8.708,1170.0
15.051,3,0.3900,-1.0000,17.00,63.50,30.00,-1.3998,8.233,1057.0
15.151,3,0.3900,-1.0000,17.00,63.50,25.00,-1.3998,7.438,980.0
15.252,3,0.3900,-1.0000,17.00,63.50,24.50,-1.3998,6.714,892.0
15.351,3,0.3900,-1.0000,17.00,63.50,25.00,-1.3998,6.031,781.0
15.451,3,0.3900,-1.0000,17.00,63.50,25.00,-1.3998,5.373,700.0
15.551,3,0.3900,-0.9279,25.00,63.50,25.00,-1.3998,4.742,612.0
15.651,3,0.4249,-0.9681,25.00,63.50,24.50,-1.3998,4.150,537.0
15.751,3,0.8047,-0.6844,25.00,63.50,23.50,-1.3998,3.546,458.0
15.851,3,1.0000,-0.4867,25.00,63.50,22.50,-1.3998,2.997,383.0
